"trainer/global_step","causal_small - train_loss","causal_small - train_loss__MIN","causal_small - train_loss__MAX","causal_small - _step","causal_small - _step__MIN","causal_small - _step__MAX"
"23699","0.14022834599018097","0.14022834599018097","0.14022834599018097","236","236","236"
"23799","0.14084450900554657","0.14084450900554657","0.14084450900554657","237","237","237"
"23899","0.14130103588104248","0.14130103588104248","0.14130103588104248","238","238","238"
"23999","0.14486858248710632","0.14486858248710632","0.14486858248710632","239","239","239"
"24099","0.13459627330303192","0.13459627330303192","0.13459627330303192","240","240","240"
"24199","0.1459820717573166","0.1459820717573166","0.1459820717573166","241","241","241"
"24299","0.14449569582939148","0.14449569582939148","0.14449569582939148","242","242","242"
"24399","0.14296196401119232","0.14296196401119232","0.14296196401119232","243","243","243"
"24499","0.14481639862060547","0.14481639862060547","0.14481639862060547","244","244","244"
"24599","0.1415499448776245","0.1415499448776245","0.1415499448776245","245","245","245"
"24699","0.1457635462284088","0.1457635462284088","0.1457635462284088","246","246","246"
"24799","0.13720816373825073","0.13720816373825073","0.13720816373825073","247","247","247"
"24899","0.1446782648563385","0.1446782648563385","0.1446782648563385","248","248","248"
"24999","0.14179912209510803","0.14179912209510803","0.14179912209510803","249","249","249"
"25099","0.13306646049022675","0.13306646049022675","0.13306646049022675","250","250","250"
"25199","0.1405746191740036","0.1405746191740036","0.1405746191740036","251","251","251"
"25299","0.13663728535175323","0.13663728535175323","0.13663728535175323","252","252","252"
"25399","0.1421617716550827","0.1421617716550827","0.1421617716550827","253","253","253"
"25499","0.14008527994155884","0.14008527994155884","0.14008527994155884","254","254","254"
"25599","0.1413217931985855","0.1413217931985855","0.1413217931985855","255","255","255"
"25699","0.14405782520771027","0.14405782520771027","0.14405782520771027","256","256","256"
"25799","0.14161242544651031","0.14161242544651031","0.14161242544651031","257","257","257"
"25899","0.14324291050434113","0.14324291050434113","0.14324291050434113","258","258","258"
"25999","0.1401333063840866","0.1401333063840866","0.1401333063840866","259","259","259"
"26099","0.139505073428154","0.139505073428154","0.139505073428154","260","260","260"
"26199","0.14038610458374023","0.14038610458374023","0.14038610458374023","261","261","261"
"26299","0.14205552637577057","0.14205552637577057","0.14205552637577057","262","262","262"
"26399","0.1492021232843399","0.1492021232843399","0.1492021232843399","263","263","263"
"26499","0.14625248312950134","0.14625248312950134","0.14625248312950134","264","264","264"
"26599","0.14122800529003143","0.14122800529003143","0.14122800529003143","265","265","265"
"26699","0.14482872188091278","0.14482872188091278","0.14482872188091278","266","266","266"
"26799","0.14255331456661224","0.14255331456661224","0.14255331456661224","267","267","267"
"26899","0.13593502342700958","0.13593502342700958","0.13593502342700958","268","268","268"
"26999","0.1479974091053009","0.1479974091053009","0.1479974091053009","269","269","269"
"27099","0.13961277902126312","0.13961277902126312","0.13961277902126312","270","270","270"
"27199","0.13848386704921722","0.13848386704921722","0.13848386704921722","271","271","271"
"27299","0.14340144395828247","0.14340144395828247","0.14340144395828247","272","272","272"
"27399","0.14401042461395264","0.14401042461395264","0.14401042461395264","273","273","273"
"27499","0.13766354322433472","0.13766354322433472","0.13766354322433472","274","274","274"
"27599","0.1403544843196869","0.1403544843196869","0.1403544843196869","275","275","275"
"27699","0.14052583277225494","0.14052583277225494","0.14052583277225494","276","276","276"
"27799","0.14185266196727753","0.14185266196727753","0.14185266196727753","277","277","277"
"27899","0.14280064404010773","0.14280064404010773","0.14280064404010773","278","278","278"
"27999","0.1300259828567505","0.1300259828567505","0.1300259828567505","279","279","279"
"28099","0.14659807085990906","0.14659807085990906","0.14659807085990906","280","280","280"
"28199","0.14203479886054993","0.14203479886054993","0.14203479886054993","281","281","281"
"28299","0.13775692880153656","0.13775692880153656","0.13775692880153656","282","282","282"
"28399","0.1407736986875534","0.1407736986875534","0.1407736986875534","283","283","283"
"28499","0.14229631423950195","0.14229631423950195","0.14229631423950195","284","284","284"
"28599","0.13865678012371063","0.13865678012371063","0.13865678012371063","285","285","285"
