"trainer/global_step","prefix4sinh - train_loss","prefix4sinh - train_loss__MIN","prefix4sinh - train_loss__MAX","prefix4sinh - _step","prefix4sinh - _step__MIN","prefix4sinh - _step__MAX"
"32399","0.1387096643447876","0.1387096643447876","0.1387096643447876","323","323","323"
"32499","0.13382641971111298","0.13382641971111298","0.13382641971111298","324","324","324"
"32599","0.1305781751871109","0.1305781751871109","0.1305781751871109","325","325","325"
"32699","0.14035502076148987","0.14035502076148987","0.14035502076148987","326","326","326"
"32799","0.13450577855110168","0.13450577855110168","0.13450577855110168","327","327","327"
"32899","0.13724377751350403","0.13724377751350403","0.13724377751350403","328","328","328"
"32999","0.12759040296077728","0.12759040296077728","0.12759040296077728","329","329","329"
"33099","0.1350734531879425","0.1350734531879425","0.1350734531879425","330","330","330"
"33199","0.13320189714431763","0.13320189714431763","0.13320189714431763","331","331","331"
"33299","0.13404865562915802","0.13404865562915802","0.13404865562915802","332","332","332"
"33399","0.12944810092449188","0.12944810092449188","0.12944810092449188","333","333","333"
"33499","0.13418611884117126","0.13418611884117126","0.13418611884117126","334","334","334"
"33599","0.13351045548915863","0.13351045548915863","0.13351045548915863","335","335","335"
"33699","0.1383611261844635","0.1383611261844635","0.1383611261844635","336","336","336"
"33799","0.13244056701660156","0.13244056701660156","0.13244056701660156","337","337","337"
"33899","0.13207857310771942","0.13207857310771942","0.13207857310771942","338","338","338"
"33999","0.13556672632694244","0.13556672632694244","0.13556672632694244","339","339","339"
"34099","0.13631215691566467","0.13631215691566467","0.13631215691566467","340","340","340"
"34199","0.1358853131532669","0.1358853131532669","0.1358853131532669","341","341","341"
"34299","0.13507485389709473","0.13507485389709473","0.13507485389709473","342","342","342"
"34399","0.13430160284042358","0.13430160284042358","0.13430160284042358","343","343","343"
"34499","0.13130247592926025","0.13130247592926025","0.13130247592926025","344","344","344"
"34599","0.13520605862140656","0.13520605862140656","0.13520605862140656","345","345","345"
"34699","0.1359570324420929","0.1359570324420929","0.1359570324420929","346","346","346"
"34799","0.12795022130012512","0.12795022130012512","0.12795022130012512","347","347","347"
"34899","0.1307806819677353","0.1307806819677353","0.1307806819677353","348","348","348"
"34999","0.13308657705783844","0.13308657705783844","0.13308657705783844","349","349","349"
"35099","0.13181298971176147","0.13181298971176147","0.13181298971176147","350","350","350"
"35199","0.13315650820732117","0.13315650820732117","0.13315650820732117","351","351","351"
"35299","0.13823005557060242","0.13823005557060242","0.13823005557060242","352","352","352"
"35399","0.1316877007484436","0.1316877007484436","0.1316877007484436","353","353","353"
"35499","0.13429751992225647","0.13429751992225647","0.13429751992225647","354","354","354"
"35599","0.1365085393190384","0.1365085393190384","0.1365085393190384","355","355","355"
