"trainer/global_step","causal - train_loss","causal - train_loss__MIN","causal - train_loss__MAX","causal - _step","causal - _step__MIN","causal - _step__MAX"
"24899","0.1357496827840805","0.1357496827840805","0.1357496827840805","248","248","248"
"24999","0.13564173877239227","0.13564173877239227","0.13564173877239227","249","249","249"
"25099","0.1353905200958252","0.1353905200958252","0.1353905200958252","250","250","250"
"25199","0.13120469450950623","0.13120469450950623","0.13120469450950623","251","251","251"
"25299","0.1339583843946457","0.1339583843946457","0.1339583843946457","252","252","252"
"25399","0.13528235256671906","0.13528235256671906","0.13528235256671906","253","253","253"
"25499","0.13041983544826508","0.13041983544826508","0.13041983544826508","254","254","254"
"25599","0.12687961757183075","0.12687961757183075","0.12687961757183075","255","255","255"
"25699","0.14287449419498444","0.14287449419498444","0.14287449419498444","256","256","256"
"25799","0.1274484544992447","0.1274484544992447","0.1274484544992447","257","257","257"
"25899","0.1333136409521103","0.1333136409521103","0.1333136409521103","258","258","258"
"25999","0.1346999704837799","0.1346999704837799","0.1346999704837799","259","259","259"
"26099","0.13680435717105865","0.13680435717105865","0.13680435717105865","260","260","260"
"26199","0.13371112942695618","0.13371112942695618","0.13371112942695618","261","261","261"
"26299","0.13262848556041718","0.13262848556041718","0.13262848556041718","262","262","262"
"26399","0.12857890129089355","0.12857890129089355","0.12857890129089355","263","263","263"
"26499","0.13161422312259674","0.13161422312259674","0.13161422312259674","264","264","264"
"26599","0.13257010281085968","0.13257010281085968","0.13257010281085968","265","265","265"
"26699","0.13756853342056274","0.13756853342056274","0.13756853342056274","266","266","266"
"26799","0.1329706311225891","0.1329706311225891","0.1329706311225891","267","267","267"
"26899","0.1364712119102478","0.1364712119102478","0.1364712119102478","268","268","268"
"26999","0.12975344061851501","0.12975344061851501","0.12975344061851501","269","269","269"
"27099","0.13512849807739258","0.13512849807739258","0.13512849807739258","270","270","270"
"27199","0.13837097585201263","0.13837097585201263","0.13837097585201263","271","271","271"
"27299","0.1320921778678894","0.1320921778678894","0.1320921778678894","272","272","272"
"27399","0.12747621536254883","0.12747621536254883","0.12747621536254883","273","273","273"
"27499","0.13097581267356873","0.13097581267356873","0.13097581267356873","274","274","274"
"27599","0.13518019020557404","0.13518019020557404","0.13518019020557404","275","275","275"
"27699","0.13200846314430237","0.13200846314430237","0.13200846314430237","276","276","276"
"27799","0.13227619230747223","0.13227619230747223","0.13227619230747223","277","277","277"
"27899","0.13291601836681366","0.13291601836681366","0.13291601836681366","278","278","278"
"27999","0.13103561103343964","0.13103561103343964","0.13103561103343964","279","279","279"
"28099","0.13390111923217773","0.13390111923217773","0.13390111923217773","280","280","280"
"28199","0.13185642659664154","0.13185642659664154","0.13185642659664154","281","281","281"
"28299","0.13297490775585175","0.13297490775585175","0.13297490775585175","282","282","282"
"28399","0.12937726080417633","0.12937726080417633","0.12937726080417633","283","283","283"
"28499","0.13215164840221405","0.13215164840221405","0.13215164840221405","284","284","284"
"28599","0.12455803900957108","0.12455803900957108","0.12455803900957108","285","285","285"
"28699","0.13488192856311798","0.13488192856311798","0.13488192856311798","286","286","286"
"28799","0.13093577325344086","0.13093577325344086","0.13093577325344086","287","287","287"
"28899","0.13138392567634583","0.13138392567634583","0.13138392567634583","288","288","288"
"28999","0.13122490048408508","0.13122490048408508","0.13122490048408508","289","289","289"
"29099","0.13389401137828827","0.13389401137828827","0.13389401137828827","290","290","290"
"29199","0.13600024580955505","0.13600024580955505","0.13600024580955505","291","291","291"
"29299","0.13429836928844452","0.13429836928844452","0.13429836928844452","292","292","292"
"29399","0.13044677674770355","0.13044677674770355","0.13044677674770355","293","293","293"
"29499","0.13316906988620758","0.13316906988620758","0.13316906988620758","294","294","294"
"29599","0.1252966672182083","0.1252966672182083","0.1252966672182083","295","295","295"
"29699","0.1331443339586258","0.1331443339586258","0.1331443339586258","296","296","296"
"29799","0.13197346031665802","0.13197346031665802","0.13197346031665802","297","297","297"
"29899","0.13349878787994385","0.13349878787994385","0.13349878787994385","298","298","298"
"29999","0.13493388891220093","0.13493388891220093","0.13493388891220093","299","299","299"
"30099","0.13023696839809418","0.13023696839809418","0.13023696839809418","300","300","300"
"30199","0.1304214894771576","0.1304214894771576","0.1304214894771576","301","301","301"
"30299","0.13020893931388855","0.13020893931388855","0.13020893931388855","302","302","302"
"30399","0.13512550294399261","0.13512550294399261","0.13512550294399261","303","303","303"
"30499","0.1308121681213379","0.1308121681213379","0.1308121681213379","304","304","304"
"30599","0.12788556516170502","0.12788556516170502","0.12788556516170502","305","305","305"
"30699","0.13516409695148468","0.13516409695148468","0.13516409695148468","306","306","306"
"30799","0.13084320724010468","0.13084320724010468","0.13084320724010468","307","307","307"
"30899","0.1270153969526291","0.1270153969526291","0.1270153969526291","308","308","308"
"30999","0.13327279686927795","0.13327279686927795","0.13327279686927795","309","309","309"
"31099","0.1275269091129303","0.1275269091129303","0.1275269091129303","310","310","310"
"31199","0.12970830500125885","0.12970830500125885","0.12970830500125885","311","311","311"
"31299","0.12962715327739716","0.12962715327739716","0.12962715327739716","312","312","312"
"31399","0.1356804370880127","0.1356804370880127","0.1356804370880127","313","313","313"
"31499","0.12583455443382263","0.12583455443382263","0.12583455443382263","314","314","314"
"31599","0.1319924294948578","0.1319924294948578","0.1319924294948578","315","315","315"
"31699","0.1360301375389099","0.1360301375389099","0.1360301375389099","316","316","316"
"31799","0.1315634697675705","0.1315634697675705","0.1315634697675705","317","317","317"
"31899","0.13764657080173492","0.13764657080173492","0.13764657080173492","318","318","318"
"31999","0.12911218404769897","0.12911218404769897","0.12911218404769897","319","319","319"
"32099","0.13053500652313232","0.13053500652313232","0.13053500652313232","320","320","320"
"32199","0.13642987608909607","0.13642987608909607","0.13642987608909607","321","321","321"
"32299","0.12958690524101257","0.12958690524101257","0.12958690524101257","322","322","322"
"32399","0.13545648753643036","0.13545648753643036","0.13545648753643036","323","323","323"
"32499","0.1295691728591919","0.1295691728591919","0.1295691728591919","324","324","324"
"32599","0.12634776532649994","0.12634776532649994","0.12634776532649994","325","325","325"
"32699","0.1359294205904007","0.1359294205904007","0.1359294205904007","326","326","326"
"32799","0.1304808109998703","0.1304808109998703","0.1304808109998703","327","327","327"
"32899","0.13411898910999298","0.13411898910999298","0.13411898910999298","328","328","328"
"32999","0.12456803768873215","0.12456803768873215","0.12456803768873215","329","329","329"
"33099","0.13109421730041504","0.13109421730041504","0.13109421730041504","330","330","330"
"33199","0.128987118601799","0.128987118601799","0.128987118601799","331","331","331"
"33299","0.12730133533477783","0.12730133533477783","0.12730133533477783","332","332","332"
"33399","0.12509718537330627","0.12509718537330627","0.12509718537330627","333","333","333"
"33499","0.13019317388534546","0.13019317388534546","0.13019317388534546","334","334","334"
"33599","0.12926548719406128","0.12926548719406128","0.12926548719406128","335","335","335"
"33699","0.1344481110572815","0.1344481110572815","0.1344481110572815","336","336","336"
"33799","0.12836726009845734","0.12836726009845734","0.12836726009845734","337","337","337"
"33899","0.1287229210138321","0.1287229210138321","0.1287229210138321","338","338","338"
"33999","0.13062860071659088","0.13062860071659088","0.13062860071659088","339","339","339"
"34099","0.132756769657135","0.132756769657135","0.132756769657135","340","340","340"
"34199","0.13186651468276978","0.13186651468276978","0.13186651468276978","341","341","341"
"34299","0.12945546209812164","0.12945546209812164","0.12945546209812164","342","342","342"
"34399","0.1294964998960495","0.1294964998960495","0.1294964998960495","343","343","343"
"34499","0.12797953188419342","0.12797953188419342","0.12797953188419342","344","344","344"
"34599","0.1308949589729309","0.1308949589729309","0.1308949589729309","345","345","345"
"34699","0.13298514485359192","0.13298514485359192","0.13298514485359192","346","346","346"
"34799","0.12414737045764923","0.12414737045764923","0.12414737045764923","347","347","347"
"34899","0.1268104761838913","0.1268104761838913","0.1268104761838913","348","348","348"
"34999","0.12817008793354034","0.12817008793354034","0.12817008793354034","349","349","349"
"35099","0.12766075134277344","0.12766075134277344","0.12766075134277344","350","350","350"
"35199","0.12841321527957916","0.12841321527957916","0.12841321527957916","351","351","351"
"35299","0.1351967602968216","0.1351967602968216","0.1351967602968216","352","352","352"
"35399","0.1274537891149521","0.1274537891149521","0.1274537891149521","353","353","353"
"35499","0.1280304491519928","0.1280304491519928","0.1280304491519928","354","354","354"
"35599","0.13266083598136902","0.13266083598136902","0.13266083598136902","355","355","355"
"35699","0.13110807538032532","0.13110807538032532","0.13110807538032532","356","356","356"
"35799","0.12716196477413177","0.12716196477413177","0.12716196477413177","357","357","357"
"35899","0.12265411019325256","0.12265411019325256","0.12265411019325256","358","358","358"
"35999","0.12933722138404846","0.12933722138404846","0.12933722138404846","359","359","359"
