"trainer/global_step","causalsinh - train_loss","causalsinh - train_loss__MIN","causalsinh - train_loss__MAX","causalsinh - _step","causalsinh - _step__MIN","causalsinh - _step__MAX"
"32099","0.13194359838962555","0.13194359838962555","0.13194359838962555","320","320","320"
"32199","0.13783429563045502","0.13783429563045502","0.13783429563045502","321","321","321"
"32299","0.1314467340707779","0.1314467340707779","0.1314467340707779","322","322","322"
"32399","0.13655169308185577","0.13655169308185577","0.13655169308185577","323","323","323"
"32499","0.13080069422721863","0.13080069422721863","0.13080069422721863","324","324","324"
"32599","0.12732981145381927","0.12732981145381927","0.12732981145381927","325","325","325"
"32699","0.1372738629579544","0.1372738629579544","0.1372738629579544","326","326","326"
"32799","0.1318095177412033","0.1318095177412033","0.1318095177412033","327","327","327"
"32899","0.13591156899929047","0.13591156899929047","0.13591156899929047","328","328","328"
"32999","0.12533938884735107","0.12533938884735107","0.12533938884735107","329","329","329"
"33099","0.1326245814561844","0.1326245814561844","0.1326245814561844","330","330","330"
"33199","0.1305301934480667","0.1305301934480667","0.1305301934480667","331","331","331"
"33299","0.12857291102409363","0.12857291102409363","0.12857291102409363","332","332","332"
"33399","0.12639442086219788","0.12639442086219788","0.12639442086219788","333","333","333"
"33499","0.13139137625694275","0.13139137625694275","0.13139137625694275","334","334","334"
"33599","0.1304178237915039","0.1304178237915039","0.1304178237915039","335","335","335"
"33699","0.1356562077999115","0.1356562077999115","0.1356562077999115","336","336","336"
"33799","0.12966041266918182","0.12966041266918182","0.12966041266918182","337","337","337"
"33899","0.12985999882221222","0.12985999882221222","0.12985999882221222","338","338","338"
"33999","0.13176287710666656","0.13176287710666656","0.13176287710666656","339","339","339"
"34099","0.133958637714386","0.133958637714386","0.133958637714386","340","340","340"
"34199","0.13365601003170013","0.13365601003170013","0.13365601003170013","341","341","341"
"34299","0.1309433877468109","0.1309433877468109","0.1309433877468109","342","342","342"
"34399","0.1306777149438858","0.1306777149438858","0.1306777149438858","343","343","343"
"34499","0.1293262541294098","0.1293262541294098","0.1293262541294098","344","344","344"
"34599","0.13247324526309967","0.13247324526309967","0.13247324526309967","345","345","345"
"34699","0.1339266300201416","0.1339266300201416","0.1339266300201416","346","346","346"
"34799","0.12521132826805115","0.12521132826805115","0.12521132826805115","347","347","347"
"34899","0.12833601236343384","0.12833601236343384","0.12833601236343384","348","348","348"
"34999","0.12951576709747314","0.12951576709747314","0.12951576709747314","349","349","349"
