"trainer/global_step","prefix4sinh_mid - train_loss","prefix4sinh_mid - train_loss__MIN","prefix4sinh_mid - train_loss__MAX","prefix4sinh_mid - _step","prefix4sinh_mid - _step__MIN","prefix4sinh_mid - _step__MAX"
"31699","0.1282944679260254","0.1282944679260254","0.1282944679260254","316","316","316"
"31799","0.12647701799869537","0.12647701799869537","0.12647701799869537","317","317","317"
"31899","0.1361105889081955","0.1361105889081955","0.1361105889081955","318","318","318"
"31999","0.12871481478214264","0.12871481478214264","0.12871481478214264","319","319","319"
"32099","0.12592479586601257","0.12592479586601257","0.12592479586601257","320","320","320"
"32199","0.1336868554353714","0.1336868554353714","0.1336868554353714","321","321","321"
"32299","0.12297868728637695","0.12297868728637695","0.12297868728637695","322","322","322"
"32399","0.1272868514060974","0.1272868514060974","0.1272868514060974","323","323","323"
"32499","0.13565434515476227","0.13565434515476227","0.13565434515476227","324","324","324"
"32599","0.13014863431453705","0.13014863431453705","0.13014863431453705","325","325","325"
"32699","0.13192331790924072","0.13192331790924072","0.13192331790924072","326","326","326"
"32799","0.13143512606620789","0.13143512606620789","0.13143512606620789","327","327","327"
"32899","0.12554728984832764","0.12554728984832764","0.12554728984832764","328","328","328"
"32999","0.12837037444114685","0.12837037444114685","0.12837037444114685","329","329","329"
"33099","0.1355770081281662","0.1355770081281662","0.1355770081281662","330","330","330"
"33199","0.13372787833213806","0.13372787833213806","0.13372787833213806","331","331","331"
"33299","0.12961013615131378","0.12961013615131378","0.12961013615131378","332","332","332"
"33399","0.13101866841316223","0.13101866841316223","0.13101866841316223","333","333","333"
"33499","0.12882159650325775","0.12882159650325775","0.12882159650325775","334","334","334"
"33599","0.12844866514205933","0.12844866514205933","0.12844866514205933","335","335","335"
"33699","0.12748469412326813","0.12748469412326813","0.12748469412326813","336","336","336"
"33799","0.12328486889600754","0.12328486889600754","0.12328486889600754","337","337","337"
"33899","0.1266583651304245","0.1266583651304245","0.1266583651304245","338","338","338"
"33999","0.13273391127586365","0.13273391127586365","0.13273391127586365","339","339","339"
"34099","0.13088785111904144","0.13088785111904144","0.13088785111904144","340","340","340"
"34199","0.12989541888237","0.12989541888237","0.12989541888237","341","341","341"
"34299","0.13281524181365967","0.13281524181365967","0.13281524181365967","342","342","342"
"34399","0.1305907815694809","0.1305907815694809","0.1305907815694809","343","343","343"
"34499","0.13241393864154816","0.13241393864154816","0.13241393864154816","344","344","344"
"34599","0.1299353986978531","0.1299353986978531","0.1299353986978531","345","345","345"
"34699","0.12942548096179962","0.12942548096179962","0.12942548096179962","346","346","346"
"34799","0.1323559284210205","0.1323559284210205","0.1323559284210205","347","347","347"
"34899","0.12888890504837036","0.12888890504837036","0.12888890504837036","348","348","348"
"34999","0.13179610669612885","0.13179610669612885","0.13179610669612885","349","349","349"
"35099","0.12186338752508163","0.12186338752508163","0.12186338752508163","350","350","350"
"35199","0.12628212571144104","0.12628212571144104","0.12628212571144104","351","351","351"
"35299","0.1335703283548355","0.1335703283548355","0.1335703283548355","352","352","352"
"35399","0.1340172290802002","0.1340172290802002","0.1340172290802002","353","353","353"
